Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,5,Fri,2018-09-14,20:45,Paris S-G,2.3,4–0,0.7,Saint-Étienne,46549,Parc des Princes,Franck Schneider,Match Report,
Regular Season,5,Sat,2018-09-15,17:00,Caen,1.7,2–2,1.2,Lyon,17676,Stade Michel d'Ornano,Johan Hamel,Match Report,
Regular Season,5,Sat,2018-09-15,20:00,Dijon,1.5,1–3,2.0,Angers,12275,Stade Gaston Gérard,Hakim Ben El Hadj Salem,Match Report,
Regular Season,5,Sat,2018-09-15,20:00,Toulouse,1.1,1–1,0.6,Monaco,16689,Stadium Municipal,Ruddy Buquet,Match Report,
Regular Season,5,Sat,2018-09-15,20:00,Montpellier,0.4,1–1,0.5,Strasbourg,10630,Stade de la Mosson,Willy Delajod,Match Report,
Regular Season,5,Sat,2018-09-15,20:00,Amiens,1.5,2–3,2.8,Lille,11569,Stade de la Licorne,Nicolas Rainville,Match Report,
Regular Season,5,Sun,2018-09-16,15:00,Nantes,0.8,0–0,0.7,Reims,18981,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier,Match Report,
Regular Season,5,Sun,2018-09-16,17:00,Bordeaux,1.3,3–3,1.6,Nîmes,15895,Stade Matmut-Atlantique,Antony Gautier,Match Report,
Regular Season,5,Sun,2018-09-16,21:00,Marseille,2.0,4–0,0.1,Guingamp,50450,Orange Vélodrome,Amaury Delerue,Match Report,

Regular Season,6,Fri,2018-09-21,20:45,Monaco,1.8,1–1,0.7,Nîmes,6837,Stade Louis II.,Amaury Delerue,Match Report,
Regular Season,6,Sat,2018-09-22,17:00,Lille,0.6,2–1,1.5,Nantes,27353,Stade Pierre-Mauroy,Benoît Bastien,Match Report,
Regular Season,6,Sat,2018-09-22,20:00,Angers,0.8,0–0,0.4,Toulouse,10021,Stade Raymond Kopa,Florent Batta,Match Report,
Regular Season,6,Sat,2018-09-22,20:00,Saint-Étienne,3.2,2–1,0.6,Caen,23895,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
Regular Season,6,Sat,2018-09-22,20:00,Reims,1.0,0–0,0.2,Dijon,11523,Stade Auguste-Delaune II,Jérôme Brisard,Match Report,
Regular Season,6,Sat,2018-09-22,20:00,Strasbourg,1.3,3–1,0.7,Amiens,24683,Stade de la Meinau,Jeremy Stinat,Match Report,
Regular Season,6,Sat,2018-09-22,20:00,Montpellier,1.8,1–0,0.6,Nice,11015,Stade de la Mosson,Thomas Léonard,Match Report,
Regular Season,6,Sun,2018-09-23,15:00,Rennes,0.8,1–3,1.5,Paris S-G,29205,Roazhon Park,Hakim Ben El Hadj Salem,Match Report,
Regular Season,6,Sun,2018-09-23,17:00,Guingamp,1.8,1–3,1.1,Bordeaux,14772,Stade du Roudourou,Franck Schneider,Match Report,
Regular Season,6,Sun,2018-09-23,21:00,Lyon,2.6,4–2,0.6,Marseille,57287,Groupama Stadium,Clément Turpin,Match Report,

Regular Season,7,Tue,2018-09-25,19:00,Monaco,0.7,0–1,0.4,Angers,5502,Stade Louis II.,Willy Delajod,Match Report,
Regular Season,7,Tue,2018-09-25,19:00,Nantes,1.2,1–2,1.1,Nice,16604,Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,Match Report,
Regular Season,7,Tue,2018-09-25,21:00,Toulouse,1.2,2–3,1.8,Saint-Étienne,14008,Stadium Municipal,Amaury Delerue,Match Report,
Regular Season,7,Wed,2018-09-26,19:00,Amiens,0.9,2–1,1.5,Rennes,10398,Stade de la Licorne,Johan Hamel,Match Report,
Regular Season,7,Wed,2018-09-26,19:00,Bordeaux,1.1,1–0,1.6,Lille,17395,Stade Matmut-Atlantique,Karim Abed,Match Report,
Regular Season,7,Wed,2018-09-26,19:00,Nîmes,1.0,0–0,0.6,Guingamp,13415,Stade des Costières,Benoît Millot,Match Report,
Regular Season,7,Wed,2018-09-26,19:00,Caen,0.8,2–2,1.7,Montpellier,14402,Stade Michel d'Ornano,Antony Gautier,Match Report,
Regular Season,7,Wed,2018-09-26,19:00,Marseille,1.4,3–2,0.7,Strasbourg,47099,Orange Vélodrome,François Letexier,Match Report,
Regular Season,7,Wed,2018-09-26,19:00,Dijon,1.4,0–3,2.8,Lyon,14651,Stade Gaston Gérard,Jérôme Miguelgorry,Match Report,
Regular Season,7,Wed,2018-09-26,21:00,Paris S-G,3.2,4–1,0.4,Reims,47237,Parc des Princes,Olivier Thual,Match Report,

Regular Season,8,Fri,2018-09-28,20:45,Saint-Étienne,1.5,2–0,2.6,Monaco,26486,Stade Geoffroy-Guichard,Jérôme Brisard,Match Report,
Regular Season,8,Sat,2018-09-29,17:15,Nice,0.3,0–3,2.5,Paris S-G,33138,Stade de Nice,Clément Turpin,Match Report,
Regular Season,8,Sat,2018-09-29,20:00,Angers,0.7,0–1,1.3,Guingamp,9483,Stade Raymond Kopa,Nicolas Rainville,Match Report,
Regular Season,8,Sat,2018-09-29,20:00,Reims,0.5,0–0,0.2,Bordeaux,13406,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
Regular Season,8,Sat,2018-09-29,20:00,Lyon,2.8,1–1,1.2,Nantes,50319,Groupama Stadium,Franck Schneider,Match Report,
Regular Season,8,Sat,2018-09-29,20:00,Caen,1.3,1–0,0.4,Amiens,15007,Stade Michel d'Ornano,Benoît Bastien,Match Report,
Regular Season,8,Sat,2018-09-29,20:00,Strasbourg,1.0,3–0,1.3,Dijon,25060,Stade de la Meinau,Eric Wattellier,Match Report,
Regular Season,8,Sun,2018-09-30,15:00,Rennes,2.4,1–1,0.5,Toulouse,21173,Roazhon Park,Thomas Léonard,Match Report,
Regular Season,8,Sun,2018-09-30,17:00,Montpellier,2.7,3–0,0.9,Nîmes,20054,Stade de la Mosson,Ruddy Buquet,Match Report,
Regular Season,8,Sun,2018-09-30,21:00,Lille,2.9,3–0,0.6,Marseille,41623,Stade Pierre-Mauroy,Mikael Lesage,Match Report,

Regular Season,9,Fri,2018-10-05,20:45,Toulouse,1.2,1–1,1.2,Nice,14162,Stadium Municipal,Willy Delajod,Match Report,
Regular Season,9,Sat,2018-10-06,17:00,Lille,0.6,3–1,1.7,Saint-Étienne,31263,Stade Pierre-Mauroy,Jérôme Miguelgorry,Match Report,
Regular Season,9,Sat,2018-10-06,20:00,Amiens,0.4,1–0,0.5,Dijon,10194,Stade de la Licorne,Florent Batta,Match Report,
Regular Season,9,Sat,2018-10-06,20:00,Nîmes,1.2,0–0,1.4,Reims,12958,Stade des Costières,Karim Abed,Match Report,
Regular Season,9,Sat,2018-10-06,20:00,Guingamp,0.9,1–1,1.0,Montpellier,13643,Stade du Roudourou,Jeremy Stinat,Match Report,
Regular Season,9,Sat,2018-10-06,20:00,Angers,2.3,2–2,1.2,Strasbourg,8930,Stade Raymond Kopa,Johan Hamel,Match Report,
Regular Season,9,Sun,2018-10-07,15:00,Bordeaux,1.5,3–0,0.9,Nantes,18307,Stade Matmut-Atlantique,François Letexier,Match Report,
Regular Season,9,Sun,2018-10-07,17:00,Marseille,2.2,2–0,0.9,Caen,55935,Orange Vélodrome,Benoît Millot,Match Report,
