Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
22,Sun,2016-01-24,17:00,Reims,1–1,Saint-Étienne,13048,Stade Auguste-Delaune II,Ruddy Buquet,Match Report,
22,Sun,2016-01-24,21:00,Lyon,1–1,Marseille,56506,Groupama Stadium,Antony Gautier,Match Report,

23,Fri,2016-01-29,20:30,Marseille,1–1,Lille,40187,Orange Vélodrome,Benoît Bastien,Match Report,
23,Sat,2016-01-30,17:00,Angers,3–0,Monaco,13598,Stade Raymond Kopa,Ruddy Buquet,Match Report,
23,Sat,2016-01-30,20:00,Toulouse,1–2,Guingamp,20097,Stadium Municipal,Sébastien Moreira,Match Report,
23,Sat,2016-01-30,20:00,Gazélec Ajaccio,0–4,Montpellier,3629,Stade Ange Casanova,Sébastien Moreira,Match Report,
23,Sat,2016-01-30,20:00,Bastia,1–0,Lyon,10908,Stade Armand Césari,Mikael Lesage,Match Report,
23,Sat,2016-01-30,20:00,Lorient,2–0,Reims,10002,Stade Yves Allainmat - Le Moustoir,Jérôme Miguelgorry,Match Report,
23,Sat,2016-01-30,20:00,Troyes,0–1,Nantes,11592,Stade de l'Aube,Johan Hamel,Match Report,
23,Sun,2016-01-31,14:00,Caen,2–0,Nice,17061,Stade Michel d'Ornano,Stéphane Lannoy,Match Report,
23,Sun,2016-01-31,17:00,Bordeaux,4–0,Rennes,19883,Stade Jacques Chaban-Delmas,Mikael Lesage,Match Report,
23,Sun,2016-01-31,21:00,Saint-Étienne,0–2,Paris S-G,32689,Stade Geoffroy-Guichard,Lionel Jaffredo,Match Report,

24,Tue,2016-02-02,19:00,Monaco,2–0,Bastia,5607,Stade Louis II.,Nicolas Rainville,Match Report,
24,Tue,2016-02-02,21:00,Montpellier,0–1,Marseille,16156,Stade de la Mosson,Tony Chapron,Match Report,
24,Wed,2016-02-03,19:00,Nantes,3–1,Gazélec Ajaccio,24799,Stade de la Beaujoire - Louis Fonteneau,Saïd Ennjimi,Match Report,
24,Wed,2016-02-03,19:00,Guingamp,4–0,Troyes,13973,Stade du Roudourou,Jérôme Miguelgorry,Match Report,
24,Wed,2016-02-03,19:00,Reims,2–1,Angers,10603,Roazhon Park,Antony Gautier,Match Report,
24,Wed,2016-02-03,19:00,Lille,1–0,Caen,27312,Stade Pierre-Mauroy,Stéphane Jochem,Match Report,
24,Wed,2016-02-03,19:00,Nice,1–0,Toulouse,12828,Stade de Nice,François Letexier,Match Report,
24,Wed,2016-02-03,19:00,Lyon,3–0,Bordeaux,30143,Groupama Stadium,Frédy Fautrel,Match Report,
24,Wed,2016-02-03,21:00,Paris S-G,3–1,Lorient,45358,Parc des Princes,Hakim Ben El Hadj Salem,Match Report,
24,Thu,2016-02-04,21:00,Rennes,0–1,Saint-Étienne,18049,Stade Auguste-Delaune II,Benoît Millot,Match Report,

25,Sat,2016-02-06,14:00,Monaco,1–0,Nice,12842,Stade Louis II.,Tony Chapron,Match Report,
25,Sat,2016-02-06,17:00,Angers,0–3,Lyon,15386,Stade Raymond Kopa,Franck Schneider,Match Report,
25,Sat,2016-02-06,20:00,Caen,0–2,Reims,16018,Stade Michel d'Ornano,Bartolomeu Varela,Match Report,
25,Sat,2016-02-06,20:00,Lorient,1–1,Montpellier,9077,Stade Yves Allainmat - Le Moustoir,Mikael Lesage,Match Report,
25,Sat,2016-02-06,20:00,Toulouse,0–0,Nantes,11570,Stadium Municipal,Lionel Jaffredo,Match Report,
25,Sat,2016-02-06,20:00,Bastia,2–0,Troyes,10441,Stade Armand Césari,Sébastien Moreira,Match Report,
25,Sat,2016-02-06,20:00,Gazélec Ajaccio,0–0,Guingamp,3569,Stade Ange Casanova,Clément Turpin,Match Report,
25,Sun,2016-02-07,14:00,Lille,1–1,Rennes,29012,Stade Pierre-Mauroy,Johan Hamel,Match Report,
25,Sun,2016-02-07,17:00,Bordeaux,1–4,Saint-Étienne,34377,Stade Jacques Chaban-Delmas,Benoît Bastien,Match Report,
25,Sun,2016-02-07,21:00,Marseille,1–2,Paris S-G,61166,Orange Vélodrome,Ruddy Buquet,Match Report,

26,Fri,2016-02-12,20:30,Rennes,1–0,Angers,18350,Roazhon Park,Stéphane Lannoy,Match Report,
26,Sat,2016-02-13,17:00,Paris S-G,0–0,Lille,45391,Parc des Princes,Franck Schneider,Match Report,
26,Sat,2016-02-13,20:00,Guingamp,2–4,Bordeaux,13177,Stade du Roudourou,Hakim Ben El Hadj Salem,Match Report,
26,Sat,2016-02-13,20:00,Reims,0–1,Bastia,11335,Stade Auguste-Delaune II,Lionel Jaffredo,Match Report,
26,Sat,2016-02-13,20:00,Montpellier,2–0,Toulouse,14616,Stade de la Mosson,Saïd Ennjimi,Match Report,
26,Sat,2016-02-13,20:00,Gazélec Ajaccio,2–3,Troyes,3485,Stade de l'Aube,Nicolas Rainville,Match Report,
26,Sat,2016-02-13,20:00,Nantes,2–1,Lorient,22256,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Match Report,
26,Sun,2016-02-14,14:00,Lyon,4–1,Caen,38624,Groupama Stadium,Ruddy Buquet,Match Report,
26,Sun,2016-02-14,17:00,Saint-Étienne,1–1,Monaco,31868,Stade Geoffroy-Guichard,Frédy Fautrel,Match Report,
26,Sun,2016-02-14,21:00,Nice,1–1,Marseille,28659,Stade de Nice,Benoît Millot,Match Report,

27,Fri,2016-02-19,20:30,Bordeaux,0–0,Nice,23641,Stade Matmut-Atlantique,Nicolas Rainville,Match Report,
27,Sat,2016-02-20,17:00,Paris S-G,4–1,Reims,45489,Parc des Princes,Jérôme Miguelgorry,Match Report,
27,Sat,2016-02-20,20:00,Angers,2–3,Montpellier,11165,Stade Raymond Kopa,Sébastien Moreira,Match Report,
27,Sat,2016-02-20,20:00,Monaco,3–1,Troyes,5650,Stade Louis II.,Johan Hamel,Match Report,
27,Sat,2016-02-20,20:00,Toulouse,1–1,Gazélec Ajaccio,19173,Stadium Municipal,Frédy Fautrel,Match Report,
27,Sat,2016-02-20,20:00,Lorient,4–3,Guingamp,12229,Stade Yves Allainmat - Le Moustoir,Bartolomeu Varela,Match Report,
27,Sun,2016-02-21,14:00,Marseille,1–1,Saint-Étienne,50570,Orange Vélodrome,Clément Turpin,Match Report,
27,Sun,2016-02-21,17:00,Caen,1–0,Rennes,15455,Stade Michel d'Ornano,Tony Chapron,Match Report,
27,Sun,2016-02-21,21:00,Lille,1–0,Lyon,32956,Stade Pierre-Mauroy,Benoît Bastien,Match Report,

28,Fri,2016-02-26,20:30,Nice,0–2,Bastia,14451,Stade de Nice,Antony Gautier,Match Report,
28,Sat,2016-02-27,17:00,Montpellier,3–0,Lille,9576,Stade de la Mosson,Hakim Ben El Hadj Salem,Match Report,
28,Sat,2016-02-27,20:00,Troyes,0–1,Lorient,10326,Stade de l'Aube,Saïd Ennjimi,Match Report,
28,Sat,2016-02-27,20:00,Toulouse,1–2,Rennes,11627,Stadium Municipal,Stéphane Jochem,Match Report,
28,Sat,2016-02-27,20:00,Reims,4–1,Bordeaux,11286,Stade Auguste-Delaune II,François Letexier,Match Report,
28,Sat,2016-02-27,20:00,Guingamp,2–2,Angers,13506,Stade du Roudourou,Benoît Millot,Match Report,
28,Sun,2016-02-28,14:00,Nantes,0–0,Monaco,25866,Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,Match Report,
28,Sun,2016-02-28,17:00,Saint-Étienne,1–2,Caen,29475,Stade Geoffroy-Guichard,Franck Schneider,Match Report,
28,Sun,2016-02-28,21:00,Lyon,2–1,Paris S-G,56661,Groupama Stadium,Lionel Jaffredo,Match Report,

29,Fri,2016-03-04,20:30,Caen,2–2,Monaco,17926,Stade Michel d'Ornano,Clément Turpin,Match Report,
29,Sat,2016-03-05,17:00,Paris S-G,0–0,Montpellier,45173,Parc des Princes,Tony Chapron,Match Report,
29,Sat,2016-03-05,20:00,Nice,2–1,Troyes,13160,Stade de Nice,Bartolomeu Varela,Match Report,
29,Sat,2016-03-05,20:00,Lille,2–0,Reims,27904,Stade Pierre-Mauroy,Mikael Lesage,Match Report,
29,Sat,2016-03-05,20:00,Bordeaux,1–1,Gazélec Ajaccio,17603,Stade Matmut-Atlantique,Johan Hamel,Match Report,
29,Sat,2016-03-05,20:00,Angers,0–0,Saint-Étienne,15892,Stade Raymond Kopa,Antony Gautier,Match Report,
29,Sat,2016-03-05,20:00,Bastia,0–0,Lorient,10586,Stade Armand Césari,Jérôme Miguelgorry,Match Report,
29,Sun,2016-03-06,14:00,Marseille,1–1,Toulouse,41080,Orange Vélodrome,Benoît Millot,Match Report,
29,Sun,2016-03-06,17:00,Rennes,4–1,Nantes,29060,Roazhon Park,Ruddy Buquet,Match Report,
29,Sun,2016-03-06,21:00,Lyon,5–1,Guingamp,33133,Groupama Stadium,Frédy Fautrel,Match Report,

27,Wed,2016-03-09,18:30,Bastia,0–0,Nantes,11071,Stade Armand Césari,Ruddy Buquet,Match Report,

28,Wed,2016-03-09,18:30,Gazélec Ajaccio,1–1,Marseille,4103,Stade Ange Casanova,Stéphane Lannoy,Match Report,

30,Fri,2016-03-11,20:30,Monaco,2–2,Reims,5738,Stade Louis II.,Benoît Millot,Match Report,
30,Sat,2016-03-12,17:00,Lorient,1–1,Marseille,15599,Stade Yves Allainmat - Le Moustoir,Ruddy Buquet,Match Report,
30,Sat,2016-03-12,20:00,Toulouse,4–0,Bordeaux,12292,Stadium Municipal,Stéphane Lannoy,Match Report,
30,Sat,2016-03-12,20:00,Gazélec Ajaccio,1–0,Caen,3488,Stade Ange Casanova,Bartolomeu Varela,Match Report,
30,Sat,2016-03-12,20:00,Montpellier,0–2,Nice,13462,Stade de la Mosson,Lionel Jaffredo,Match Report,
30,Sat,2016-03-12,20:00,Guingamp,2–0,Saint-Étienne,13981,Stade du Roudourou,Stéphane Jochem,Match Report,
30,Sat,2016-03-12,20:00,Bastia,1–2,Lille,10727,Stade Armand Césari,Saïd Ennjimi,Match Report,
30,Sun,2016-03-13,14:00,Troyes,0–9,Paris S-G,19184,Stade de l'Aube,François Letexier,Match Report,
30,Sun,2016-03-13,17:00,Nantes,2–0,Angers,32611,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
30,Sun,2016-03-13,21:00,Rennes,2–2,Lyon,25830,Roazhon Park,Franck Schneider,Match Report,

31,Fri,2016-03-18,20:30,Marseille,2–5,Rennes,40077,Orange Vélodrome,Sébastien Moreira,Match Report,
31,Sat,2016-03-19,17:00,Saint-Étienne,3–0,Montpellier,28037,Stade Geoffroy-Guichard,Jérôme Miguelgorry,Match Report,
31,Sat,2016-03-19,20:00,Angers,5–1,Lorient,11553,Stade Raymond Kopa,Johan Hamel,Match Report,
31,Sat,2016-03-19,20:00,Caen,2–1,Troyes,17585,Stade Michel d'Ornano,Lionel Jaffredo,Match Report,
31,Sat,2016-03-19,20:00,Lille,1–0,Toulouse,29836,Stade Pierre-Mauroy,Bartolomeu Varela,Match Report,
31,Sat,2016-03-19,20:00,Reims,0–1,Guingamp,14433,Stade Auguste-Delaune II,Franck Schneider,Match Report,
31,Sat,2016-03-19,21:00,Lyon,2–0,Nantes,47505,Groupama Stadium,Benoît Millot,Match Report,
31,Sun,2016-03-20,14:00,Bordeaux,1–1,Bastia,21927,Stade Matmut-Atlantique,Tony Chapron,Match Report,
31,Sun,2016-03-20,17:00,Nice,3–0,Gazélec Ajaccio,19066,Stade de Nice,Nicolas Rainville,Match Report,
31,Sun,2016-03-20,21:00,Paris S-G,0–2,Monaco,46569,Parc des Princes,Antony Gautier,Match Report,

32,Fri,2016-04-01,20:30,Monaco,1–2,Bordeaux,6852,Stade Louis II.,Benoît Bastien,Match Report,
32,Sat,2016-04-02,17:00,Paris S-G,4–1,Nice,46919,Parc des Princes,Mikael Lesage,Match Report,
32,Sat,2016-04-02,20:00,Guingamp,2–2,Montpellier,13640,Stade du Roudourou,Ruddy Buquet,Match Report,
32,Sat,2016-04-02,20:00,Gazélec Ajaccio,0–2,Saint-Étienne,3665,Stade Ange Casanova,Clément Turpin,Match Report,
32,Sat,2016-04-02,20:00,Troyes,0–1,Angers,10472,Stade de l'Aube,Stéphane Jochem,Match Report,
32,Sat,2016-04-02,20:00,Rennes,3–1,Reims,24828,Roazhon Park,Saïd Ennjimi,Match Report,
32,Sat,2016-04-02,20:00,Toulouse,2–0,Caen,14002,Stadium Municipal,François Letexier,Match Report,
32,Sun,2016-04-03,14:00,Nantes,0–3,Lille,25518,Stade de la Beaujoire - Louis Fonteneau,Tony Chapron,Match Report,
32,Sun,2016-04-03,17:00,Bastia,2–1,Marseille,13141,Stade Armand Césari,Lionel Jaffredo,Match Report,
32,Sun,2016-04-03,21:00,Lorient,1–3,Lyon,15132,Stade Yves Allainmat - Le Moustoir,Frédy Fautrel,Match Report,

33,Fri,2016-04-08,20:30,Montpellier,0–2,Lyon,15066,Stade de la Mosson,Antony Gautier,Match Report,
33,Sat,2016-04-09,17:00,Guingamp,0–2,Paris S-G,18363,Stade du Roudourou,Frédy Fautrel,Match Report,
33,Sat,2016-04-09,20:00,Toulouse,4–0,Bastia,17407,Stadium Municipal,Ruddy Buquet,Match Report,
33,Sat,2016-04-09,20:00,Angers,0–0,Gazélec Ajaccio,11474,Stade Raymond Kopa,Jérôme Miguelgorry,Match Report,
33,Sat,2016-04-09,20:00,Saint-Étienne,1–0,Troyes,29824,Stade Geoffroy-Guichard,Johan Hamel,Match Report,
33,Sat,2016-04-09,20:00,Caen,1–2,Lorient,17408,Stade Michel d'Ornano,Nicolas Rainville,Match Report,
33,Sat,2016-04-09,20:00,Reims,2–1,Nantes,12143,Stade Auguste-Delaune II,Bartolomeu Varela,Match Report,
33,Sun,2016-04-10,14:00,Lille,4–1,Monaco,32125,Stade Pierre-Mauroy,Sébastien Moreira,Match Report,
33,Sun,2016-04-10,17:00,Nice,3–0,Rennes,23622,Stade de Nice,Clément Turpin,Match Report,
33,Sun,2016-04-10,21:00,Marseille,0–0,Bordeaux,43344,Orange Vélodrome,Franck Schneider,Match Report,

34,Fri,2016-04-15,20:30,Lyon,1–1,Nice,55744,Groupama Stadium,Lionel Jaffredo,Match Report,
34,Sat,2016-04-16,17:00,Paris S-G,6–0,Caen,44807,Parc des Princes,Bartolomeu Varela,Match Report,
34,Sat,2016-04-16,20:00,Lorient,1–1,Toulouse,13212,Stade Yves Allainmat - Le Moustoir,Stéphane Lannoy,Match Report,
34,Sat,2016-04-16,20:00,Bastia,0–1,Saint-Étienne,11631,Stade Armand Césari,Benoît Millot,Match Report,
34,Sat,2016-04-16,20:00,Gazélec Ajaccio,2–4,Lille,3605,Stade Ange Casanova,François Letexier,Match Report,
34,Sat,2016-04-16,20:00,Troyes,2–1,Reims,12650,Stade de l'Aube,Tony Chapron,Match Report,
34,Sat,2016-04-16,20:00,Bordeaux,1–3,Angers,24611,Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
34,Sun,2016-04-17,14:00,Nantes,0–2,Montpellier,21789,Stade de la Beaujoire - Louis Fonteneau,Stéphane Jochem,Match Report,
34,Sun,2016-04-17,17:00,Rennes,0–3,Guingamp,29068,Roazhon Park,Mikael Lesage,Match Report,
34,Sun,2016-04-17,21:00,Monaco,2–1,Marseille,10056,Stade Louis II.,Antony Gautier,Match Report,

35,Fri,2016-04-22,20:30,Nice,2–0,Reims,21913,Stade de Nice,Benoît Bastien,Match Report,
35,Sat,2016-04-23,17:30,Toulouse,2–3,Lyon,24316,Stadium Municipal,Clément Turpin,Match Report,
35,Sun,2016-04-24,14:00,Marseille,1–1,Nantes,19898,Orange Vélodrome,Stéphane Lannoy,Match Report,
35,Sun,2016-04-24,17:00,Saint-Étienne,2–0,Lorient,29550,Stade Geoffroy-Guichard,Amaury Delerue,Match Report,
35,Sun,2016-04-24,17:00,Gazélec Ajaccio,3–2,Bastia,4104,Stade Ange Casanova,Sébastien Moreira,Match Report,
35,Sun,2016-04-24,17:00,Montpellier,4–1,Troyes,14323,Stade de la Mosson,Mikael Lesage,Match Report,
35,Sun,2016-04-24,17:00,Guingamp,1–1,Caen,16203,Stade du Roudourou,Benoît Millot,Match Report,
35,Sun,2016-04-24,21:00,Rennes,1–1,Monaco,23251,Roazhon Park,Frédy Fautrel,Match Report,
35,Wed,2016-04-27,18:30,Lille,0–0,Angers,32001,Stade Pierre-Mauroy,Johan Hamel,Match Report,

36,Fri,2016-04-29,20:30,Paris S-G,4–0,Rennes,45341,Parc des Princes,Amaury Delerue,Match Report,
36,Sat,2016-04-30,14:00,Nantes,1–0,Nice,21442,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Match Report,
36,Sat,2016-04-30,17:00,Saint-Étienne,0–0,Toulouse,30578,Stade Geoffroy-Guichard,Lionel Jaffredo,Match Report,
36,Sat,2016-04-30,19:00,Reims,2–3,Montpellier,19716,Stade Auguste-Delaune II,Frédy Fautrel,Match Report,
36,Sat,2016-04-30,19:00,Caen,0–0,Bastia,17016,Stade Michel d'Ornano,Jérôme Miguelgorry,Match Report,
36,Sat,2016-04-30,19:00,Troyes,2–4,Bordeaux,13442,Stade de l'Aube,Bartolomeu Varela,Match Report,
36,Sat,2016-04-30,19:00,Lorient,0–1,Lille,11501,Stade Yves Allainmat - Le Moustoir,Benoît Bastien,Match Report,
36,Sat,2016-04-30,19:00,Monaco,3–2,Guingamp,6669,Stade Louis II.,Clément Turpin,Match Report,
36,Sat,2016-04-30,21:00,Lyon,2–1,Gazélec Ajaccio,50546,Groupama Stadium,Nicolas Rainville,Match Report,
36,Sun,2016-05-01,17:00,Angers,0–1,Marseille,16198,Stade Raymond Kopa,Tony Chapron,Match Report,

37,Sat,2016-05-07,21:00,Nantes,1–2,Caen,30321,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,
37,Sat,2016-05-07,21:00,Toulouse,1–0,Troyes,29444,Stadium Municipal,Antony Gautier,Match Report,
37,Sat,2016-05-07,21:00,Bordeaux,3–0,Lorient,23117,Stade Matmut-Atlantique,Stéphane Jochem,Match Report,
37,Sat,2016-05-07,21:00,Montpellier,2–0,Rennes,13004,Stade de la Mosson,Sébastien Moreira,Match Report,
37,Sat,2016-05-07,21:00,Lille,0–0,Guingamp,30298,Stade Pierre-Mauroy,Amaury Delerue,Match Report,
37,Sat,2016-05-07,21:00,Marseille,1–0,Reims,20767,Orange Vélodrome,Nicolas Rainville,Match Report,
37,Sat,2016-05-07,21:00,Gazélec Ajaccio,0–4,Paris S-G,3970,Stade Ange Casanova,Mikael Lesage,Match Report,
37,Sat,2016-05-07,21:00,Nice,2–0,Saint-Étienne,35596,Stade de Nice,Benoît Millot,Match Report,
37,Sat,2016-05-07,21:00,Lyon,6–1,Monaco,56696,Groupama Stadium,Ruddy Buquet,Match Report,
37,Sat,2016-05-07,21:00,Bastia,1–0,Angers,11817,Stade Armand Césari,Stéphane Lannoy,Match Report,

35,Wed,2016-05-11,20:30,Bordeaux,1–1,Paris S-G,38026,Stade Matmut-Atlantique,François Letexier,Match Report,

38,Sat,2016-05-14,21:00,Monaco,2–0,Montpellier,9318,Stade Louis II.,Benoît Bastien,Match Report,
38,Sat,2016-05-14,21:00,Rennes,1–2,Bastia,21429,Roazhon Park,Mikael Lesage,Match Report,
38,Sat,2016-05-14,21:00,Paris S-G,4–0,Nantes,47844,Parc des Princes,Lionel Jaffredo,Match Report,
38,Sat,2016-05-14,21:00,Lorient,1–0,Gazélec Ajaccio,12616,Stade Yves Allainmat - Le Moustoir,Benoît Millot,Match Report,
38,Sat,2016-05-14,21:00,Saint-Étienne,0–1,Lille,39550,Stade Geoffroy-Guichard,Clément Turpin,Match Report,
38,Sat,2016-05-14,21:00,Troyes,1–1,Marseille,16623,Stade de l'Aube,François Letexier,Match Report,
38,Sat,2016-05-14,21:00,Angers,2–3,Toulouse,15131,Stade Raymond Kopa,Frédy Fautrel,Match Report,
38,Sat,2016-05-14,21:00,Guingamp,2–3,Nice,17236,Stade du Roudourou,Ruddy Buquet,Match Report,
38,Sat,2016-05-14,21:00,Reims,4–1,Lyon,17432,Stade Auguste-Delaune II,Amaury Delerue,Match Report,
38,Sat,2016-05-14,21:00,Caen,1–0,Bordeaux,19599,Stade Michel d'Ornano,Tony Chapron,Match Report,
