Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,5,Fri,2017-09-08,20:45,Metz,1.1,1–5,4.6,Paris S-G,25015,Stade Saint-Symphorien,Sébastien Desiage,Match Report,
Regular Season,5,Sat,2017-09-09,17:00,Nice,2.4,4–0,0.9,Monaco,28995,Stade de Nice,Clément Turpin,Match Report,
Regular Season,5,Sat,2017-09-09,20:00,Strasbourg,0.5,0–1,0.2,Amiens,23424,Stade de la Meinau,Jérôme Brisard,Match Report,
Regular Season,5,Sat,2017-09-09,20:00,Caen,1.5,2–1,0.6,Dijon,15328,Stade Michel d'Ornano,Thomas Léonard,Match Report,
Regular Season,5,Sat,2017-09-09,20:00,Troyes,0.8,0–0,0.2,Toulouse,1060,Stade de l'Aube,Hakim Ben El Hadj Salem,Match Report,
Regular Season,5,Sat,2017-09-09,20:00,Montpellier,0.8,0–1,0.7,Nantes,10298,Stade de la Mosson,Jérôme Miguelgorry,Match Report,
Regular Season,5,Sun,2017-09-10,15:00,Saint-Étienne,0.7,1–1,1.9,Angers,29740,Stade Geoffroy-Guichard,Karim Abed,Match Report,
Regular Season,5,Sun,2017-09-10,17:00,Lyon,0.8,2–1,0.9,Guingamp,36697,Groupama Stadium,Benoît Millot,Match Report,
Regular Season,5,Sun,2017-09-10,21:00,Marseille,1.0,1–3,2.0,Rennes,40343,Orange Vélodrome,Amaury Delerue,Match Report,

Regular Season,6,Fri,2017-09-15,20:45,Toulouse,1.0,0–1,0.6,Bordeaux,13616,Stadium Municipal,Clément Turpin,Match Report,
Regular Season,6,Sat,2017-09-16,17:00,Monaco,2.5,3–0,0.6,Strasbourg,8310,Stade Louis II.,Johan Hamel,Match Report,
Regular Season,6,Sat,2017-09-16,20:00,Guingamp,2.0,1–0,0.6,Lille,11901,Stade du Roudourou,Jérôme Brisard,Match Report,
Regular Season,6,Sat,2017-09-16,20:00,Troyes,0.8,0–1,0.8,Montpellier,11970,Stade de l'Aube,Amaury Delerue,Match Report,
Regular Season,6,Sat,2017-09-16,20:00,Nantes,1.0,1–0,0.5,Caen,20245,Stade de la Beaujoire - Louis Fonteneau,Olivier Thual,Match Report,
Regular Season,6,Sat,2017-09-16,20:00,Dijon,2.1,0–1,1.8,Saint-Étienne,13820,Stade Gaston Gérard,Benoît Bastien,Match Report,
Regular Season,6,Sun,2017-09-17,15:00,Amiens,0.2,0–2,1.6,Marseille,11698,Stade de la Licorne,Mikael Lesage,Match Report,
Regular Season,6,Sun,2017-09-17,17:00,Angers,2.0,0–1,1.1,Metz,9163,Stade Raymond Kopa,Stéphane Jochem,Match Report,
Regular Season,6,Sun,2017-09-17,17:00,Rennes,0.8,0–1,0.6,Nice,24892,Roazhon Park,Nicolas Rainville,Match Report,
Regular Season,6,Sun,2017-09-17,21:00,Paris S-G,2.1,2–0,0.7,Lyon,47191,Parc des Princes,Ruddy Buquet,Match Report,

Regular Season,7,Fri,2017-09-22,19:00,Nice,2.1,2–2,1.3,Angers,18023,Stade de Nice,François Letexier,Match Report,
Regular Season,7,Fri,2017-09-22,20:45,Lille,1.1,0–4,2.6,Monaco,34146,Stade Pierre-Mauroy,Franck Schneider,Match Report,
Regular Season,7,Sat,2017-09-23,17:00,Montpellier,0.1,0–0,0.9,Paris S-G,20975,Stade de la Mosson,Clément Turpin,Match Report,
Regular Season,7,Sat,2017-09-23,20:00,Lyon,4.1,3–3,1.2,Dijon,33600,Groupama Stadium,Antony Gautier,Match Report,
Regular Season,7,Sat,2017-09-23,20:00,Bordeaux,3.5,3–1,1.3,Guingamp,20603,Stade Matmut-Atlantique,Benoît Bastien,Match Report,
Regular Season,7,Sat,2017-09-23,20:00,Caen,2.0,1–0,0.5,Amiens,16212,Stade Michel d'Ornano,Hakim Ben El Hadj Salem,Match Report,
Regular Season,7,Sat,2017-09-23,20:00,Metz,1.2,0–1,0.8,Troyes,15491,Stade Saint-Symphorien,Karim Abed,Match Report,
Regular Season,7,Sun,2017-09-24,15:00,Saint-Étienne,1.9,2–2,1.1,Rennes,31043,Stade Geoffroy-Guichard,Jérôme Miguelgorry,Match Report,
Regular Season,7,Sun,2017-09-24,17:00,Strasbourg,1.4,1–2,0.6,Nantes,23408,Stade de la Meinau,Sébastien Desiage,Match Report,
Regular Season,7,Sun,2017-09-24,21:00,Marseille,2.9,2–0,0.5,Toulouse,39501,Orange Vélodrome,Benoît Millot,Match Report,

Regular Season,8,Fri,2017-09-29,20:45,Monaco,0.9,1–1,1.2,Montpellier,7053,Stade Louis II.,Tony Chapron,Match Report,
Regular Season,8,Sat,2017-09-30,17:00,Paris S-G,1.8,6–2,2.5,Bordeaux,47537,Parc des Princes,François Letexier,Match Report,
Regular Season,8,Sat,2017-09-30,20:00,Guingamp,1.4,1–1,0.8,Toulouse,13196,Stade du Roudourou,Ruddy Buquet,Match Report,
Regular Season,8,Sat,2017-09-30,20:00,Nantes,1.7,1–0,1.3,Metz,22104,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,
Regular Season,8,Sat,2017-09-30,20:00,Rennes,0.8,0–1,1.2,Caen,18689,Roazhon Park,Amaury Delerue,Match Report,
Regular Season,8,Sat,2017-09-30,20:00,Dijon,1.7,1–1,1.1,Strasbourg,11577,Stade Gaston Gérard,Olivier Thual,Match Report,
Regular Season,8,Sun,2017-10-01,15:00,Troyes,0.6,2–1,1.2,Saint-Étienne,11823,Stade de l'Aube,Nicolas Rainville,Match Report,
Regular Season,8,Sun,2017-10-01,17:00,Angers,1.6,3–3,1.7,Lyon,11432,Stade Raymond Kopa,Mikael Lesage,Match Report,
Regular Season,8,Sun,2017-10-01,21:00,Nice,2.1,2–4,2.4,Marseille,32702,Stade de Nice,Benoît Bastien,Match Report,

Regular Season,9,Fri,2017-10-13,20:45,Lyon,1.9,3–2,2.2,Monaco,43295,Groupama Stadium,Benoît Bastien,Match Report,
Regular Season,9,Sat,2017-10-14,17:00,Dijon,0.9,1–2,2.8,Paris S-G,15160,Stade Gaston Gérard,Jérôme Miguelgorry,Match Report,
Regular Season,9,Sat,2017-10-14,20:00,Toulouse,1.7,1–0,0.3,Amiens,15308,Stadium Municipal,François Letexier,Match Report,
Regular Season,9,Sat,2017-10-14,20:00,Lille,0.8,2–2,1.4,Troyes,29518,Stade Pierre-Mauroy,Hakim Ben El Hadj Salem,Match Report,
Regular Season,9,Sat,2017-10-14,20:00,Guingamp,2.4,2–0,0.8,Rennes,15902,Stade du Roudourou,Franck Schneider,Match Report,
Regular Season,9,Sat,2017-10-14,20:00,Caen,2.1,0–2,1.5,Angers,16736,Stade Michel d'Ornano,Benoît Millot,Match Report,
Regular Season,9,Sat,2017-10-14,20:00,Saint-Étienne,2.3,3–1,0.4,Metz,24613,Stade Geoffroy-Guichard,Olivier Thual,Match Report,
Regular Season,9,Sun,2017-10-15,15:00,Bordeaux,1.5,1–1,1.7,Nantes,31048,Stade Matmut-Atlantique,Karim Abed,Match Report,
