Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,5,Sat,2016-09-17,20:00,Nancy,1–1,Nantes,17034,Stade Marcel Picot,Tony Chapron,Match Report,
Regular Season,5,Sun,2016-09-18,15:00,Montpellier,1–1,Nice,12272,Stade de la Mosson,Lionel Jaffredo,Match Report,
Regular Season,5,Sun,2016-09-18,17:00,Saint-Étienne,1–0,Bastia,22245,Stade Geoffroy-Guichard,François Letexier,Match Report,
Regular Season,5,Sun,2016-09-18,20:45,Marseille,0–0,Lyon,32564,Orange Vélodrome,Antony Gautier,Match Report,

Regular Season,6,Tue,2016-09-20,19:00,Lille,1–2,Toulouse,23323,Stade Pierre-Mauroy,Jérôme Miguelgorry,Match Report,
Regular Season,6,Tue,2016-09-20,21:00,Paris S-G,3–0,Dijon,42484,Parc des Princes,Olivier Thual,Match Report,
Regular Season,6,Wed,2016-09-21,19:00,Nantes,0–0,Saint-Étienne,18823,Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,Match Report,
Regular Season,6,Wed,2016-09-21,19:00,Guingamp,1–0,Lorient,13175,Stade du Roudourou,Benoît Millot,Match Report,
Regular Season,6,Wed,2016-09-21,19:00,Metz,0–3,Bordeaux,15711,Stade Saint-Symphorien,Mikael Lesage,Match Report,
Regular Season,6,Wed,2016-09-21,19:00,Bastia,0–0,Nancy,9193,Stade Armand Césari,Johan Hamel,Match Report,
Regular Season,6,Wed,2016-09-21,19:00,Lyon,5–1,Montpellier,32193,Groupama Stadium,Bartolomeu Varela,Match Report,
Regular Season,6,Wed,2016-09-21,19:00,Nice,4–0,Monaco,21867,Stade de Nice,Benoît Bastien,Match Report,
Regular Season,6,Wed,2016-09-21,19:00,Angers,2–1,Caen,10504,Stade Raymond Kopa,François Letexier,Match Report,
Regular Season,6,Wed,2016-09-21,21:00,Rennes,3–2,Marseille,21583,Roazhon Park,Ruddy Buquet,Match Report,

Regular Season,7,Fri,2016-09-23,20:45,Toulouse,2–0,Paris S-G,28682,Stadium Municipal,Franck Schneider,Match Report,
Regular Season,7,Sat,2016-09-24,17:00,Lorient,1–0,Lyon,10628,Stade Yves Allainmat - Le Moustoir,Mikael Lesage,Match Report,
Regular Season,7,Sat,2016-09-24,20:00,Monaco,2–1,Angers,6019,Stade Louis II.,Jérôme Miguelgorry,Match Report,
